stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
188,HLTLI0,"Temps Libre",,48.650480,6.194064,,,0,
1188,HLTLI1,"Temps Libre",,48.650511,6.194158,,,0,
272,HLVSB0,"Vigne des Sables",,48.659603,6.197682,,,0,
184,HLVSL0,"Versailles",,48.644220,6.201457,,,0,
1184,HLVSL1,"Versailles",,48.644243,6.201357,,,0,
253,JRALS0,"Alsace-Bonsecours",,48.676220,6.199713,,,0,
1253,JRALS1,"Alsace-Bonsecours",,48.675227,6.200774,,,0,
201,JRCLF0,"Jarville Californie",,48.673574,6.206672,,,0,
1201,JRCLF1,"Jarville Californie",,48.673569,6.206477,,,0,
197,JRCLM0,"Clemenceau",,48.668563,6.199150,,,0,
1197,JRCLM1,"Clemenceau",,48.667777,6.198795,,,0,
531,JREGL0,"L'Atelier",,48.668893,6.207648,,,0,
1531,JREGL1,"L'Atelier",,48.668738,6.207877,,,0,
259,JREMM0,"Emmaüs",,48.659030,6.206438,,,0,
1259,JREMM1,"Emmaüs",,48.659900,6.206780,,,0,
198,JREVR0,"Evrard",,48.668024,6.201836,,,0,
1198,JREVR1,"Evrard",,48.667849,6.201992,,,0,
256,JRFNT1,"Fonteno",,48.668684,6.204867,,,0,
1256,JRFNT3,"Fonteno",,48.668928,6.204602,,,0,
277,JRGAR0,"Belle Croix",,48.672442,6.201258,,,0,
1277,JRGAR1,"Belle Croix",,48.672416,6.201387,,,0,
254,JRMAI0,"Jarville Mairie",,48.673314,6.202321,,,0,
1254,JRMAI1,"Jarville Mairie",,48.673237,6.202510,,,0,
794,JRMGG2,"La Malgrange",,48.665891,6.196825,,,0,
1794,JRMGG3,"La Malgrange",,48.666141,6.196772,,,0,
2043,JRMGG4,"La Malgrange",,48.665707,6.197004,,,0,
3043,JRMGG5,"La Malgrange",,48.674000,6.187000,,,0,
258,JRMON0,"Montaigu",,48.662971,6.207394,,,0,
1258,JRMON1,"Montaigu",,48.663709,6.207704,,,0,
257,JRMSF0,"Musée de l'Histoire du Fer",,48.665340,6.208001,,,0,
1257,JRMSF1,"Musée de l'Histoire du Fer",,48.665360,6.208104,,,0,
688,JRREP2,"Jarville République",,48.670793,6.206125,,,0,
1688,JRREP3,"Jarville République",,48.670851,6.206212,,,0,
270,JRSIO0,"Sion",,48.664643,6.198299,,,0,
278,JRSIO1,"Jarville Sion",,48.664671,6.198565,,,0,
1270,JRSIO2,"Sion",,48.664474,6.198605,,,0,
271,JRSNG0,"Léon Songeur",,48.661021,6.199587,,,0,
1271,JRSNG1,"Léon Songeur",,48.660635,6.200174,,,0,
2021,JRSNG2,"Léon Songeur",,48.660277,6.199937,,,0,
754,JRTEL0,"Tourtel",,48.670325,6.197097,,,0,
1754,JRTEL1,"Tourtel",,48.670219,6.197105,,,0,
159,LDABT0,"Albâtre",,48.614699,6.166490,,,0,
1159,LDABT1,"Albâtre",,48.614673,6.166835,,,0,
163,LDBRQ0,"Baraques de Ludres",,48.622449,6.178296,,,0,
1163,LDBRQ1,"Baraques de Ludres",,48.622505,6.178157,,,0,
152,LDCES0,"Collège Monod",,48.620946,6.167910,,,0,
1152,LDCES1,"Collège Monod",,48.620896,6.167876,,,0,
162,LDCNM0,"Ludres Cinéma",,48.619179,6.177250,,,0,
550,LDCNM1,"Pascal",,48.618280,6.177621,,,0,
1162,LDCNM2,"Ludres Cinéma",,48.617793,6.176353,,,0,
1921,LDCNM3,"Pascal",,48.618114,6.178459,,,0,
678,LDCUR0,"Curie",,48.616896,6.181057,,,0,
1939,LDCUR1,"Curie",,48.617039,6.181121,,,0,
154,LDECO0,"Ecoles",,48.620121,6.159885,,,0,
1154,LDECO1,"Ecoles",,48.620840,6.160261,,,0,
2805,LDEMO0,"Ludres J. Monod",,48.619752,6.169844,,,0,
158,LDERY0,"Eurydice",,48.615024,6.163904,,,0,
1158,LDERY1,"Eurydice",,48.614969,6.164302,,,0,
138,LDERY2,"Eurydice",,48.615030,6.163912,,,0,
157,LDFRL0,"Frères Lumière",,48.613993,6.160420,,,0,
1157,LDFRL1,"Frères Lumière",,48.614090,6.160939,,,0,
263,LDFRS0,"Dynapole",,48.610423,6.192776,,,0,
1263,LDFRS1,"Dynapole",,48.610365,6.192808,,,0,
151,LDGAR0,"Ludres Gare",,48.622211,6.170756,,,0,
1151,LDGAR1,"Ludres Gare",,48.621828,6.170339,,,0,
801,LDGEN0,"Genobois",,48.617928,6.165799,,,0,
1901,LDGEN1,"Genobois",,48.617960,6.165861,,,0,
153,LDMAI0,"Ludres Mairie",,48.621480,6.161478,,,0,
1153,LDMAI1,"Ludres Mairie",,48.621250,6.161877,,,0,
800,LDMAR0,"Marie Marvingt",,48.616797,6.160086,,,0,
1800,LDMAR1,"Marie Marvingt",,48.616853,6.160075,,,0,
156,LDMES0,"Messein",,48.616283,6.159461,,,0,
1156,LDMES1,"Messein",,48.616399,6.159591,,,0,
905,LDMON0,"Collège Monod",,48.620106,6.167403,,,0,
1905,LDMON1,"Collège Monod",,48.619741,6.166334,,,0,
805,LDMVT0,"Ludres Marvingt",,48.619324,6.165657,,,0,
264,LDPAP0,"Papin",,48.612447,6.191353,,,0,
1264,LDPAP1,"Papin",,48.611549,6.190756,,,0,
1936,LDPAP2,"Papin",,48.611416,6.190642,,,0,
160,LDRAV0,"Ravel",,48.612225,6.171855,,,0,
1160,LDRAV1,"Ravel",,48.612290,6.171848,,,0,
149,LDRES0,"Ludres",,48.625633,6.175492,,,0,
155,LDSRS0,"Secours",,48.619028,6.159395,,,0,
1155,LDSRS1,"Secours",,48.619159,6.159566,,,0,
150,LDVER0,"Sainte-Blaine",,48.624005,6.174234,,,0,
1150,LDVER1,"Sainte-Blaine",,48.624214,6.174964,,,0,
161,LDVVI0,"Vert Village",,48.614397,6.174793,,,0,
1161,LDVVI1,"Vert Village",,48.614262,6.174665,,,0,
556,LDZI20,"Lavoisier",,48.615683,6.182861,,,0,
555,LDZI30,"Grignard",,48.615320,6.188144,,,0,
544,LNALN1,"Les Aulnois",,48.653328,6.226214,,,0,
535,LNCRT0,"Cartonneries",,48.658693,6.224527,,,0,
1535,LNCRT1,"Cartonneries",,48.659124,6.225447,,,0,
690,LNCTR0,"Laneuveville Centre",,48.659219,6.230079,,,0,
537,LNECS0,"Laneuveville Piscine",,48.659154,6.227750,,,0,
1537,LNECS1,"Laneuveville Piscine",,48.659256,6.227680,,,0,
742,LNERY0,"Robert Damery",,48.658839,6.216021,,,0,
1742,LNERY1,"Robert Damery",,48.658792,6.216038,,,0,
689,LNFAU0,"Gabriel Fauré",,48.666442,6.213346,,,0,
1689,LNFAU1,"Gabriel Fauré",,48.666440,6.213611,,,0,
517,LNFLO0,"Flaubert",,48.657248,6.217835,,,0,
1517,LNFLO1,"Flaubert",,48.657319,6.217946,,,0,
518,LNFON0,"5 Fontaines",,48.656285,6.221711,,,0,
1518,LNFON1,"5 Fontaines",,48.656232,6.221651,,,0,
662,LNGAR0,"Laneuveville Gare",,48.655418,6.227858,,,0,
533,LNGLT0,"Château de Montaigu",,48.665386,6.216355,,,0,
1533,LNGLT1,"Château de Montaigu",,48.665071,6.217058,,,0,
541,LNGRD0,"Gérardcourt",,48.649268,6.232616,,,0,
1541,LNGRD1,"Gérardcourt",,48.649229,6.232397,,,0,
542,LNHTM0,"Huit Mai",,48.650716,6.229197,,,0,
1542,LNHTM1,"Huit Mai",,48.650347,6.229629,,,0,
539,LNLEC0,"Leclerc",,48.654401,6.232383,,,0,
